TIME,F1,F2,F3,F4,F5,ROLL,PITCH,YAWPP
641740 ,12.6 ,23 ,71.1 ,25.8 ,20.2,-25.5 ,-47.2 ,39.8
641830 ,13.4 ,16 ,68.4 ,26.8 ,20.2,-25.2 ,-47.2 ,39.7
641920 ,22.6 ,13 ,64.8 ,24.7 ,20.2,-23.0 ,-47.1 ,39.5
642040 ,47.8 ,12 ,64.8 ,23.6 ,20.2,-22.4 ,-46.6 ,39.8
642130 ,52.1 ,10 ,64.8 ,23.6 ,21.7,-21.8 ,-46.7 ,40.0
642220 ,50.4 ,11 ,63.9 ,22.5 ,21.7,-21.9 ,-46.7 ,40.1
642340 ,47.0 ,10 ,64.8 ,23.6 ,20.2,-22.1 ,-46.9 ,40.6
642430 ,43.6 ,9 ,60.3 ,22.5 ,21.7,-22.7 ,-46.9 ,40.8
642520 ,43.6 ,10 ,57.6 ,21.5 ,20.2,-22.9 ,-46.9 ,40.9
642640 ,41.1 ,9 ,56.7 ,21.5 ,21.7,-23.0 ,-46.8 ,40.8
642730 ,36.9 ,8 ,56.7 ,22.5 ,23.1,-23.2 ,-46.8 ,40.7
642820 ,23.5 ,9 ,54.9 ,22.5 ,20.2,-24.1 ,-47.1 ,40.4
642940 ,17.6 ,10 ,53.1 ,21.5 ,21.7,-24.5 ,-46.1 ,41.3
643030 ,15.9 ,9 ,50.4 ,19.3 ,23.1,-24.4 ,-46.0 ,41.7
643120 ,15.9 ,9 ,49.5 ,18.2 ,24.6,-24.6 ,-46.0 ,41.6
643240 ,16.8 ,10 ,49.5 ,19.3 ,21.7,-24.7 ,-45.8 ,41.6
643330 ,16.8 ,9 ,49.5 ,20.4 ,23.1,-24.8 ,-46.0 ,41.6
643420 ,17.6 ,9 ,46.8 ,19.3 ,23.1,-25.0 ,-46.1 ,41.6
643540 ,16.8 ,11 ,46.8 ,18.2 ,24.6,-25.0 ,-46.0 ,41.6
643630 ,18.4 ,11 ,50.4 ,19.3 ,26.0,-24.3 ,-45.9 ,41.5
643720 ,22.6 ,13 ,52.2 ,19.3 ,24.6,-22.3 ,-45.8 ,40.5
643840 ,26.0 ,15 ,58.5 ,21.5 ,20.2,-20.3 ,-46.1 ,39.1
643930 ,26.8 ,13 ,53.1 ,21.5 ,21.7,-19.7 ,-45.9 ,39.1
644020 ,28.5 ,13 ,52.2 ,20.4 ,21.7,-19.6 ,-45.8 ,39.2
644140 ,28.5 ,13 ,51.3 ,19.3 ,21.7,-19.9 ,-45.9 ,39.1
644230 ,28.5 ,13 ,52.2 ,21.5 ,21.7,-20.1 ,-45.9 ,38.9
644320 ,27.7 ,12 ,52.2 ,21.5 ,21.7,-20.3 ,-45.8 ,38.9
644440 ,28.5 ,13 ,51.3 ,21.5 ,23.1,-20.5 ,-45.9 ,38.9
644530 ,27.7 ,13 ,53.1 ,21.5 ,21.7,-20.6 ,-45.8 ,39.0
644620 ,27.7 ,13 ,52.2 ,22.5 ,23.1,-20.7 ,-45.7 ,38.8
644740 ,31.9 ,13 ,53.1 ,26.8 ,37.6,-20.9 ,-45.3 ,36.6
644830 ,30.2 ,12 ,50.4 ,35.4 ,56.5,-20.3 ,-45.1 ,32.5
644920 ,31.9 ,14 ,49.5 ,36.5 ,60.8,-20.2 ,-44.7 ,31.2
645040 ,31.0 ,13 ,52.2 ,36.5 ,57.9,-20.1 ,-44.8 ,31.0
645130 ,31.0 ,14 ,52.2 ,35.4 ,57.9,-20.1 ,-44.7 ,31.0
