TIME,F1,F2,F3,F4,F5,ROLL,PITCH,YAWPP
736120 ,31.0 ,46 ,73.8 ,31.1 ,21.7,-12.1 ,-42.5 ,8.3
736240 ,30.2 ,46 ,73.8 ,30.1 ,21.7,-12.1 ,-42.4 ,8.4
736330 ,31.0 ,46 ,72.9 ,31.1 ,23.1,-12.0 ,-42.3 ,8.3
736420 ,30.2 ,45 ,72.9 ,31.1 ,21.7,-12.0 ,-42.2 ,8.2
736540 ,30.2 ,45 ,72.0 ,30.1 ,21.7,-11.9 ,-42.2 ,8.2
736630 ,29.4 ,44 ,72.9 ,31.1 ,20.2,-11.9 ,-42.2 ,8.2
736720 ,29.4 ,42 ,72.9 ,31.1 ,21.7,-11.8 ,-42.2 ,8.2
736840 ,29.4 ,38 ,71.1 ,30.1 ,21.7,-11.8 ,-42.2 ,8.1
736930 ,30.2 ,36 ,72.0 ,30.1 ,21.7,-11.8 ,-42.2 ,8.1
737020 ,29.4 ,35 ,71.1 ,29.0 ,21.7,-11.8 ,-42.2 ,8.1
737110 ,29.4 ,24 ,70.2 ,29.0 ,21.7,-11.6 ,-42.1 ,8.0
737230 ,32.7 ,19 ,67.5 ,27.9 ,23.1,-11.2 ,-41.9 ,8.2
737320 ,34.4 ,17 ,66.6 ,29.0 ,21.7,-11.1 ,-41.7 ,8.1
737410 ,33.6 ,16 ,66.6 ,29.0 ,23.1,-11.2 ,-41.7 ,8.1
737530 ,34.4 ,17 ,65.7 ,29.0 ,21.7,-11.4 ,-41.7 ,8.2
737620 ,33.6 ,15 ,65.7 ,29.0 ,23.1,-11.7 ,-41.6 ,8.3
737710 ,32.7 ,15 ,65.7 ,30.1 ,21.7,-11.8 ,-41.6 ,8.4
737830 ,31.9 ,15 ,63.9 ,29.0 ,21.7,-11.8 ,-41.6 ,8.5
737920 ,31.9 ,15 ,63.9 ,27.9 ,21.7,-11.7 ,-41.6 ,8.5
738010 ,31.0 ,14 ,62.1 ,26.8 ,23.1,-11.6 ,-41.7 ,8.6
738130 ,25.2 ,17 ,58.5 ,27.9 ,23.1,-12.0 ,-41.8 ,8.5
738220 ,20.1 ,16 ,56.7 ,29.0 ,23.1,-12.5 ,-41.5 ,9.0
738310 ,19.3 ,17 ,55.8 ,26.8 ,21.7,-12.9 ,-41.4 ,9.0
738430 ,20.1 ,17 ,54.9 ,26.8 ,21.7,-13.2 ,-41.4 ,9.0
738520 ,19.3 ,17 ,54.9 ,26.8 ,20.2,-13.1 ,-41.5 ,8.9
