TIME,F1,F2,F3,F4,F5,ROLL,PITCH,YAWPP
674770 ,31.0 ,45 ,72.0 ,33.3 ,13.0,-11.9 ,-40.6 ,29.8
674890 ,30.2 ,45 ,72.0 ,32.2 ,13.0,-11.7 ,-40.8 ,29.7
674980 ,31.0 ,48 ,72.0 ,33.3 ,13.0,-11.5 ,-40.8 ,29.7
675070 ,30.2 ,47 ,71.1 ,32.2 ,14.4,-11.3 ,-40.8 ,29.7
675160 ,31.9 ,48 ,72.0 ,32.2 ,13.0,-11.1 ,-40.9 ,29.6
675280 ,30.2 ,49 ,72.0 ,32.2 ,14.4,-10.9 ,-41.0 ,29.6
675370 ,30.2 ,48 ,71.1 ,31.1 ,13.0,-10.9 ,-41.0 ,29.5
675460 ,31.9 ,39 ,70.2 ,32.2 ,14.4,-11.1 ,-40.9 ,29.3
675580 ,51.2 ,21 ,69.3 ,33.3 ,14.4,-10.6 ,-40.3 ,29.2
675670 ,62.1 ,19 ,68.4 ,32.2 ,14.4,-10.4 ,-40.1 ,29.2
675760 ,66.3 ,18 ,67.5 ,32.2 ,15.9,-10.1 ,-40.0 ,29.3
675880 ,65.5 ,17 ,67.5 ,32.2 ,14.4,-10.0 ,-40.1 ,29.5
675970 ,63.8 ,17 ,66.6 ,33.3 ,15.9,-10.1 ,-40.1 ,29.6
676060 ,63.8 ,17 ,66.6 ,32.2 ,15.9,-10.1 ,-40.1 ,29.6
676180 ,63.8 ,16 ,65.7 ,31.1 ,14.4,-10.2 ,-40.1 ,29.5
676270 ,60.5 ,16 ,65.7 ,32.2 ,15.9,-10.2 ,-40.2 ,29.5
676360 ,59.6 ,16 ,66.6 ,32.2 ,14.4,-10.1 ,-40.2 ,29.4
676480 ,57.1 ,15 ,66.6 ,33.3 ,14.4,-10.0 ,-40.3 ,29.4
676570 ,45.3 ,17 ,61.2 ,32.2 ,14.4,-10.4 ,-40.4 ,29.3
676660 ,26.0 ,17 ,55.8 ,32.2 ,15.9,-10.0 ,-40.3 ,29.7
676780 ,22.6 ,19 ,54.9 ,31.1 ,15.9,-9.0 ,-40.4 ,29.8
676870 ,22.6 ,19 ,54.0 ,31.1 ,17.3,-8.8 ,-40.5 ,29.9
676960 ,21.8 ,20 ,53.1 ,29.0 ,18.8,-8.7 ,-40.5 ,29.8
677080 ,22.6 ,20 ,55.8 ,30.1 ,15.9,-8.5 ,-40.5 ,29.8
677170 ,22.6 ,20 ,56.7 ,30.1 ,15.9,-7.9 ,-41.0 ,29.6
677260 ,23.5 ,20 ,57.6 ,30.1 ,15.9,-7.6 ,-41.2 ,29.4
677380 ,22.6 ,20 ,58.5 ,29.0 ,15.9,-7.3 ,-41.3 ,29.0
677470 ,24.3 ,20 ,57.6 ,27.9 ,15.9,-7.1 ,-41.4 ,28.8
677560 ,28.5 ,21 ,62.1 ,27.9 ,17.3,-6.3 ,-42.0 ,28.3
677680 ,30.2 ,27 ,63.0 ,30.1 ,17.3,-5.0 ,-42.3 ,27.4
677770 ,31.9 ,27 ,62.1 ,31.1 ,17.3,-4.7 ,-42.2 ,27.2
677860 ,33.6 ,28 ,61.2 ,30.1 ,15.9,-4.8 ,-42.2 ,27.0
677980 ,35.2 ,29 ,60.3 ,27.9 ,15.9,-4.7 ,-42.3 ,26.8
678070 ,35.2 ,28 ,61.2 ,29.0 ,15.9,-4.8 ,-42.3 ,26.6
678160 ,35.2 ,28 ,60.3 ,30.1 ,14.4,-4.8 ,-42.3 ,26.3
678250 ,35.2 ,27 ,61.2 ,30.1 ,14.4,-4.8 ,-42.3 ,26.1
678370 ,35.2 ,27 ,62.1 ,30.1 ,14.4,-5.0 ,-42.1 ,26.0
678460 ,36.1 ,27 ,61.2 ,29.0 ,20.2,-5.2 ,-41.7 ,25.7
678550 ,39.4 ,28 ,63.0 ,33.3 ,27.5,-5.1 ,-41.1 ,25.4
678670 ,37.8 ,27 ,65.7 ,43.0 ,42.0,-5.8 ,-41.0 ,23.8
678760 ,38.6 ,27 ,68.4 ,40.8 ,52.1,-5.9 ,-40.8 ,23.0
678850 ,37.8 ,27 ,68.4 ,41.9 ,53.6,-5.7 ,-40.7 ,22.5
678970 ,35.2 ,26 ,67.5 ,39.7 ,52.1,-5.1 ,-40.4 ,21.5
679060 ,62.1 ,27 ,69.3 ,38.7 ,49.2,-3.4 ,-39.9 ,19.9
679150 ,59.6 ,28 ,71.1 ,39.7 ,47.8,-3.1 ,-40.0 ,19.7
679270 ,56.3 ,29 ,72.0 ,38.7 ,46.3,-3.1 ,-40.1 ,19.8
679360 ,52.9 ,29 ,72.0 ,39.7 ,46.3,-3.1 ,-40.4 ,19.9
679450 ,49.5 ,34 ,72.9 ,37.6 ,40.5,-2.6 ,-40.8 ,20.3
679570 ,30.2 ,55 ,76.5 ,35.4 ,27.5,-4.5 ,-40.8 ,22.3
679640 ,28.5 ,57 ,76.5 ,33.3 ,24.6,-5.1 ,-41.0 ,23.2
679750 ,23.5 ,56 ,76.5 ,34.4 ,21.7,-5.9 ,-41.4 ,24.4
679870 ,23.5 ,57 ,75.6 ,33.3 ,20.2,-5.9 ,-41.5 ,24.3
679960 ,23.5 ,57 ,75.6 ,33.3 ,21.7,-5.6 ,-41.6 ,24.3
680050 ,23.5 ,56 ,75.6 ,33.3 ,21.7,-5.5 ,-41.6 ,24.2
680170 ,23.5 ,56 ,74.7 ,33.3 ,20.2,-5.1 ,-41.5 ,24.1
680260 ,23.5 ,56 ,75.6 ,33.3 ,18.8,-5.0 ,-41.4 ,24.0
680350 ,23.5 ,55 ,74.7 ,33.3 ,17.3,-4.9 ,-41.4 ,23.9
680470 ,28.5 ,32 ,74.7 ,33.3 ,17.3,-4.2 ,-41.3 ,24.0
680560 ,52.1 ,21 ,73.8 ,34.4 ,17.3,-3.0 ,-40.9 ,24.4
680650 ,60.5 ,18 ,71.1 ,32.2 ,18.8,-2.8 ,-40.8 ,24.5
680740 ,61.3 ,17 ,74.7 ,33.3 ,18.8,-2.6 ,-40.8 ,24.4
680860 ,60.5 ,17 ,72.9 ,33.3 ,18.8,-2.7 ,-40.8 ,24.5
680950 ,57.1 ,17 ,72.0 ,32.2 ,18.8,-2.9 ,-40.9 ,24.6
681040 ,55.4 ,15 ,72.0 ,33.3 ,18.8,-3.2 ,-41.1 ,24.7
681160 ,53.7 ,14 ,72.0 ,32.2 ,18.8,-3.3 ,-41.1 ,24.7
681250 ,53.7 ,14 ,70.2 ,32.2 ,20.2,-3.5 ,-41.1 ,24.6
681340 ,47.0 ,13 ,70.2 ,32.2 ,20.2,-3.7 ,-41.1 ,24.5
681460 ,37.8 ,13 ,68.4 ,32.2 ,20.2,-4.5 ,-41.2 ,24.5
681550 ,34.4 ,13 ,65.7 ,32.2 ,21.7,-4.8 ,-40.9 ,24.1
681640 ,31.9 ,13 ,66.6 ,31.1 ,23.1,-5.0 ,-40.8 ,24.0
681760 ,28.5 ,13 ,66.6 ,31.1 ,23.1,-5.4 ,-40.6 ,23.9
681850 ,26.8 ,14 ,63.0 ,30.1 ,23.1,-5.5 ,-40.4 ,23.9
681940 ,27.7 ,14 ,64.8 ,31.1 ,21.7,-5.3 ,-40.4 ,24.1
682060 ,26.0 ,15 ,66.6 ,31.1 ,24.6,-4.7 ,-40.6 ,24.1
682150 ,26.8 ,14 ,68.4 ,33.3 ,23.1,-4.4 ,-40.6 ,24.3
682240 ,26.8 ,15 ,67.5 ,32.2 ,23.1,-4.1 ,-40.6 ,24.3
682360 ,26.8 ,15 ,67.5 ,32.2 ,23.1,-3.6 ,-40.6 ,24.4
682450 ,26.8 ,17 ,68.4 ,30.1 ,23.1,-3.0 ,-40.9 ,24.3
682540 ,27.7 ,17 ,68.4 ,30.1 ,20.2,-2.1 ,-40.8 ,23.9
682660 ,28.5 ,16 ,66.6 ,33.3 ,21.7,-1.2 ,-40.5 ,23.6
682750 ,28.5 ,16 ,65.7 ,33.3 ,21.7,-1.0 ,-40.7 ,23.5
682840 ,28.5 ,16 ,64.8 ,32.2 ,23.1,-0.9 ,-40.7 ,23.3
682960 ,28.5 ,15 ,64.8 ,33.3 ,23.1,-1.0 ,-40.7 ,23.2
683050 ,28.5 ,16 ,64.8 ,33.3 ,23.1,-0.9 ,-40.7 ,23.2
683140 ,28.5 ,17 ,63.9 ,32.2 ,23.1,-1.1 ,-40.7 ,23.1
683260 ,28.5 ,17 ,64.8 ,33.3 ,21.7,-1.1 ,-40.6 ,23.0
683350 ,28.5 ,17 ,64.8 ,34.4 ,23.1,-1.2 ,-40.3 ,22.8
683440 ,29.4 ,17 ,65.7 ,35.4 ,24.6,-1.4 ,-40.1 ,22.6
683530 ,29.4 ,16 ,65.7 ,36.5 ,27.5,-1.3 ,-40.0 ,22.0
683650 ,27.7 ,15 ,61.2 ,38.7 ,39.1,-0.9 ,-39.7 ,17.9
683740 ,26.8 ,17 ,64.8 ,44.0 ,46.3,-0.7 ,-39.3 ,17.7
683830 ,26.0 ,16 ,63.0 ,43.0 ,46.3,-0.6 ,-39.4 ,17.4
683950 ,26.0 ,16 ,63.0 ,43.0 ,46.3,-0.6 ,-39.4 ,17.3
684040 ,26.8 ,17 ,63.0 ,43.0 ,43.4,-0.8 ,-39.6 ,17.2
684130 ,26.8 ,17 ,63.9 ,43.0 ,44.9,-1.0 ,-39.6 ,17.1
684250 ,26.8 ,17 ,67.5 ,47.3 ,44.9,-1.1 ,-39.5 ,17.4
684340 ,27.7 ,16 ,66.6 ,47.3 ,39.1,-0.9 ,-39.9 ,18.2
684430 ,26.8 ,16 ,66.6 ,44.0 ,28.9,-1.9 ,-39.3 ,18.7
684550 ,26.8 ,17 ,67.5 ,41.9 ,24.6,-2.7 ,-39.1 ,18.5
